"SED_name","SED_state","dwellings","capacity","density","instals_Residential","instals_Commercial","instals_Power_Station","capacity_Residential","capacity_Commercial","capacity_Power_Station"
"Kalgoorlie (Mining and Pastoral)","WA","16482","66239","22.8","3757","182","15","18465","6103","41671"
"Karama","NT","2739","6668","34.8","953","20","1","5539","914","215"
"Katherine","NT","4167","42999","21.7","903","88","2","5231","3737","34031"
"Kaurna","SA","16289","53706","59.6","9708","210","2","48087","5350","269"
"Kavel","SA","17010","74081","55.8","9486","698","8","53644","17616","2821"
"Kawana","QLD","22158","80886","63.3","14018","456","2","68287","11675","924"
"Keira","NSW","29250","59078","31.0","9070","302","2","49850","8778","450"
"Keppel","QLD","22763","66056","49.2","11205","300","5","56955","7588","1513"
"Kew (Southern Metropolitan)","VIC","21344","28060","19.0","4046","188","2","21935","5017","1108"
"Keysborough (South-Eastern Metropolitan)","VIC","25771","53368","31.5","8108","221","12","40704","8779","3885"
"Kiama","NSW","34896","95878","38.6","13479","544","8","75644","14759","5475"
"Kimberley (Mining and Pastoral)","WA","18199","22871","6.5","1179","445","4","7326","14005","1540"
"King","SA","15050","46559","55.3","8324","224","1","39855","5703","1001"
"Kingsley (North Metropolitan)","WA","14434","39251","60.8","8779","35","1","38197","868","186"
"Kogarah","NSW","18759","29370","22.3","4190","197","2","23419","5398","553"
"Kororoit (Western Metropolitan)","VIC","29496","66889","35.0","10335","227","16","50598","8358","7933"
"Ku-ring-gai","NSW","20434","44646","26.6","5440","341","7","35310","7821","1515"
"Kurrajong","ACT","24615","76372","27.8","6837","767","16","40985","28116","7271"
"Kurwongbah","QLD","22459","88436","64.1","14387","458","4","74597","12469","1370"
"Kwinana (South Metropolitan)","WA","19142","59398","56.6","10838","187","9","50437","6743","2218"
"Lake Macquarie","NSW","34250","88037","40.3","13807","437","4","75910","11400","727"
"Lakemba","NSW","21736","41010","22.4","4872","309","5","27038","10007","3965"
"Lane Cove","NSW","19308","41469","25.4","4911","323","7","30128","9135","2206"
"Lara (Western Victoria)","VIC","29806","49072","26.3","7825","294","6","36161","10348","2563"
"Lee","SA","15787","43217","46.9","7401","263","2","36454","6412","351"
"Light","SA","17587","64670","55.3","9732","388","5","53217","8908","2545"
"Lismore","NSW","34209","111829","55.3","18906","759","2","92837","18206","786"
"Liverpool","NSW","23240","55942","36.2","8416","275","4","47396","7119","1427"
"Lockyer","QLD","21389","97840","66.4","14202","778","2","75191","18921","3728"
"Logan","QLD","24432","107904","64.5","15749","833","3","88921","18102","881"
"Londonderry","NSW","38661","96419","32.1","12420","567","14","73299","16889","6231"
"Lowan (Western Victoria)","VIC","29279","55684","29.0","8480","451","4","41419","13384","881"
"Lyons (Derwent)","TAS","12515","14357","19.3","2411","67","1","11963","2074","320"
"Lyons (Launceston)","TAS","499","1254","28.4","142","8","1","730","277","247"
"Lyons (McIntyre)","TAS","15291","23554","24.0","3668","160","0","17951","5603","0"
"Lyons (Mersey)","TAS","3604","4973","22.7","816","21","0","4246","727","0"
"Lyons (Montgomery)","TAS","2859","4265","23.6","674","27","1","3203","835","227"
"Lyons (Prosser)","TAS","20593","22697","20.4","4195","95","0","20044","2653","0"
"Lyons (Rosevears)","TAS","5277","8782","32.0","1690","32","0","8041","741","0"
"Lyons (Rumney)","TAS","1504","1600","20.0","301","3","0","1539","61","0"
"Lytton","QLD","20844","64749","50.5","10521","351","6","50824","11632","2293"
"Macalister","QLD","25706","95148","52.2","13431","688","5","72136","19874","3138"
"Macedon (Northern Victoria)","VIC","29658","74890","37.7","11186","537","4","58782","13153","2955"
"Mackay","QLD","23407","75779","42.2","9888","490","5","58673","15882","1224"
"Mackillop","SA","18437","61491","39.0","7198","463","5","38545","11750","11196"
"Macquarie Fields","NSW","40186","121169","39.1","15722","755","12","91997","23439","5733"
"Maitland","NSW","35779","115032","40.2","14385","803","6","87591","22529","4912"
"Maiwar","QLD","12053","39842","45.2","5451","341","2","30813","8280","749"
"Malvern (Southern Metropolitan)","VIC","17278","21220","16.1","2776","165","3","14748","4241","2231"
"Mandurah (South West)","WA","22149","58269","55.6","12315","120","7","53131","3456","1682"
"Manly","NSW","17318","36805","28.9","5006","258","0","30526","6279","0"
"Mansfield","QLD","17926","54990","49.6","8900","307","9","44352","7711","2927"
"Maroochydore","QLD","17680","55718","52.0","9201","304","3","44867","8051","2800"
"Maroubra","NSW","19626","36539","23.3","4575","260","2","27105","9010","424"
"Maryborough","QLD","24837","173761","56.6","14064","363","4","68007","9388","96366"
"Mawson","SA","20276","70313","55.5","11244","513","5","53759","12856","3698"
"Maylands (East Metropolitan)","WA","17819","32424","33.0","5881","159","0","27326","5098","0"
"McConnel","QLD","4898","20499","32.5","1591","315","3","8769","10720","1010"
"Melbourne (Northern Metropolitan)","VIC","14393","18584","11.8","1699","229","11","7089","9225","2270"
"Melton (Western Victoria)","VIC","40971","80472","33.1","13572","286","3","71158","7794","1520"
"Mermaid Beach","QLD","17493","55176","48.2","8425","437","2","44329","10398","449"
"Midland (East Metropolitan)","WA","21958","62671","50.2","11026","261","3","53754","7968","949"
"Mildura (Northern Victoria)","VIC","29573","814536","33.1","9789","1159","28","55422","37019","722095"
"Mill Park (Northern Metropolitan)","VIC","26836","49725","30.8","8257","197","5","42145","6619","961"
