"SED_name","SED_state","dwellings","capacity","density","instals_Residential","instals_Commercial","instals_Power_Station","capacity_Residential","capacity_Commercial","capacity_Power_Station"
"Traeger","QLD","22445","263381","26.1","5864","636","11","33240","17216","212925"
"Tweed","NSW","32281","117401","62.0","20017","559","4","102067","14140","1194"
"Unclassified (OT)","OT","1947","4871","45.6","888","50","0","3668","1203","0"
"Unley","SA","12830","48598","49.5","6346","585","2","34893","13331","374"
"Upper Hunter","NSW","36432","111757","37.7","13725","1035","8","82144","25655","3958"
"Vasse (South West)","WA","24705","59334","40.9","10093","341","1","48599","10593","142"
"Vaucluse","NSW","12197","19461","18.6","2265","241","0","14598","4863","0"
"Victoria Park (South Metropolitan)","WA","21104","36700","30.1","6359","179","3","29321","6443","936"
"Wagga Wagga","NSW","32945","251089","37.6","12391","664","9","65916","18072","167101"
"Waite","SA","13750","51915","58.5","8047","406","2","43780","7835","300"
"Wakehurst","NSW","20936","46097","30.3","6343","275","3","38146","7389","562"
"Wallsend","NSW","35879","84109","32.5","11674","366","11","62826","10600","10683"
"Wanguri","NT","2846","7694","36.4","1035","25","2","6023","1201","470"
"Wanneroo (North Metropolitan)","WA","18821","70380","63.8","12013","305","7","57847","10292","2241"
"Warnbro (South Metropolitan)","WA","18702","58602","63.8","11929","77","3","54820","2091","1691"
"Warrandyte (Eastern Metropolitan)","VIC","21837","37447","26.2","5716","254","4","30336","5706","1405"
"Warrego","QLD","21386","206290","36.8","7869","857","7","40282","23963","142045"
"Warren-Blackwood (South West)","WA","22824","41790","30.2","6890","324","2","32324","9167","299"
"Waterford","QLD","23852","78802","51.7","12330","518","5","61860","14870","2072"
"Wendouree (Western Victoria)","VIC","27780","45332","22.0","6104","333","7","30988","11809","2535"
"Werribee (Western Metropolitan)","VIC","37810","85646","36.4","13779","231","9","74674","8266","2706"
"West Swan (East Metropolitan)","WA","20059","69230","61.2","12270","212","6","61109","6729","1392"
"West Torrens","SA","14867","48735","41.0","6094","511","6","31231","14360","3144"
"Whitsunday","QLD","21752","81013","48.7","10601","600","5","62660","16772","1581"
"Willagee (South Metropolitan)","WA","16151","41564","45.4","7333","189","8","33225","6704","1635"
"Williamstown (Western Metropolitan)","VIC","29573","39031","19.4","5724","273","8","26458","10107","2466"
"Willoughby","NSW","18620","35091","24.2","4510","299","3","26968","7411","712"
"Wollondilly","NSW","34778","109956","39.4","13699","965","6","85020","22277","2659"
"Wollongong","NSW","26013","57694","28.8","7503","380","10","41623","13324","2747"
"Woodridge","QLD","25143","68602","44.3","11131","352","8","52566","14253","1783"
"Wright","SA","14843","47108","57.8","8585","220","3","39891","6108","1109"
"Wyong","NSW","32178","83216","37.3","11997","382","9","64835","10281","8100"
"Yan Yean (Northern Victoria)","VIC","38719","81901","33.7","13054","373","1","73305","8222","374"
"Yerrabi","ACT","38127","107328","34.9","13320","691","6","88275","16879","2174"
"Yuroke (Northern Metropolitan)","VIC","48790","118554","35.4","17279","451","6","104694","10774","3086"
